Date,Discharge,BOD,TSS,OG,pH,Phenols,COD
3/18/2016,,,,nil,7,0.01,46
3/19/2016,No discharge,,,nil,8,0.01,81
3/20/2016,,,,nil,7,0.01,34
3/21/2016,,19,48,nil,7,0.01,52
3/22/2016,,,,nil,7,0.01,58
3/23/2016,,,,nil,7,0.01,39
3/24/2016,,,,nil,7,0.01,25
3/25/2016,,,,nil,8,0.01,21
3/26/2016,,,,nil,8,0.01,51
3/27/2016,,,,nil,8,0.01,49
3/28/2016,,11,12,nil,8,0.01,43
3/29/2016,,,,nil,8,0.02,40
3/30/2016,,,,nil,7,0.02,32
3/31/2016,,,,nil,7,0.02,36
4/1/2016,,,-,-,7,<0.1,47
4/2/2016,,,26,-,7,<0.1,40
4/3/2016,,,21,-,7,<0.1,41
4/4/2016,,16,-,-,7,<0.1,52
4/5/2016,,,26,-,7,<0.1,5
4/6/2016,,,-,-,8,<0.1,57
4/7/2016,,,21,-,7,<0.1,59
4/8/2016,,,26,-,7,<0.1,60
4/9/2016,,,-,-,7,<0.1,34
4/10/2016,,,-,-,7,<0.1,39
4/11/2016,,,32,-,7,<0.1,26
4/12/2016,,,28,-,7,<0.1,53
4/13/2016,,,-,-,7,<0.1,55
4/14/2016,,,31,-,7,<0.1,46
4/15/2016,,,35,-,7,<0.1,56
4/16/2016,,,-,-,-,-,-
4/17/2016,,,-,-,7,<0.1,42
4/18/2016,,9,24,-,7,<0.1,60
4/19/2016,,,21,-,7,<0.1,57
4/20/2016,,,15,-,7,<0.1,49
4/21/2016,,,12,-,7,<0.1,44
4/22/2016,,,10,-,7,<0.1,53
4/23/2016,,,12,-,7,<0.1,59
4/24/2016,,,23,-,7,<0.1,51
4/25/2016,,8,7,-,7,<0.1,37
4/26/2016,,,7,-,7,<0.1,39
4/27/2016,,,12,-,7,<0.1,41
4/28/2016,,,-,-,5,<0.1,54
4/29/2016,,,16,-,6,<0.1,60
4/30/2016,,,-,-,7,<0.1,36
5/1/2016,No discharge,-,-,-,-,-,-
5/2/2016,No discharge,-,-,-,-,-,-
5/3/2016,No discharge,-,-,-,-,-,-
5/4/2016,,,2,-,7,<0.1,15
5/5/2016,,,3,-,-,-,-
5/6/2016,,,-,-,7,<0.1,14
5/7/2016,,,22,-,6,<0.1,38
5/8/2016,,,31,-,7,<0.1,41
5/9/2016,,,19,-,4,<0.1,22
5/10/2016,,,23,-,6,<0.1,50
5/11/2016,,,18,-,8,<0.1,57
5/12/2016,,,5,-,8,<0.1,23
5/13/2016,,,-,-,8,<0.1,49
5/14/2016,,,-,-,-,-,-
5/15/2016,,,-,-,7,<0.1,57
5/16/2016,No discharge,,14,-,7,<0.1,98
5/17/2016,No discharge,,8,-,7,<0.1,94
5/18/2016,No discharge,,78,-,7,0.3,164
5/19/2016,No discharge,,63,-,8,0.2,181
5/20/2016,No discharge,,86,-,7,0.5,222
5/21/2016,No discharge,,92,2,7,0.3,236
5/22/2016,No discharge,,-,1,8,0.1,155
5/23/2016,No discharge,32,57,-,7,0.7,225
5/24/2016,No discharge,,58,-,8,0.5,99
5/25/2016,No discharge,,-,-,7,0.3,101
5/26/2016,No discharge,,45,-,7,0.4,85
5/27/2016,No discharge,,19,-,7,0.3,162
5/28/2016,No discharge,,39,-,8,0.2,105
5/29/2016,No discharge,,24,-,8,<0.1,109
5/30/2016,No discharge,,36,-,7,<0.1,129
5/31/2016,No discharge,,30,-,7,<0.1,216
6/1/2016,No discharge,,-,-,8,0.1,215
6/2/2016,No discharge,,-,-,8,0.1,148
6/3/2016,No discharge,,-,-,8,0.1,208
6/4/2016,No discharge,,-,-,8,0.1,84
6/5/2016,,,-,-,8,<0.1,44
6/6/2016,No discharge,,24,-,8,<0.1,83
6/7/2016,,,44,-,8,<0.1,55
